SITE,PLOT,COL,ROW,TAG,STEM,DBH24,HT21,HT23,HT24,HTLC24,COMMENT
    Buck,31,34,40,7609,   ,146,1090,1250,1360,350,                         
    Buck,31,34,41,7520,   ,275,1200,1430,1540,310,                         
    Buck,31,35,38,3019,   ,256,1190,1400,1540,320,                         
    Buck,31,35,39,7721,   ,     ,     ,     ,     ,     ,                         
    Buck,31,35,40,7875,   ,178,1130,1280,1380,340,                         
    Buck,31,35,41,7776,   ,     ,     ,     ,     ,     ,                         
    Buck,34,31,26,2524,   ,211,1110,1270,1390,340,                         
    Buck,34,31,27,4887,   ,118,900,1090,1190,350,                         
    Buck,34,31,28,2597,   ,251,1250,1430,1580,440,                         
    Buck,34,31,29,4312,   ,146,800,900,950,360,sinuous                  
    Buck,34,32,26,1709,a  ,204,1260,1420,1520,440,                         
    Buck,34,32,26,1709,b  ,170,1140,1360,1480,440,                         
    Buck,34,32,27,4352,   ,230,1230,1400,1520,390,                         
    Buck,34,32,28,2470,a  ,201,1260,1450,1610,540,                         
    Buck,34,32,28,2470,b  ,197,1180,     ,1550,540,                         
    Buck,34,32,29,4399,   ,270,1370,1520,1640,     ,                         
    Buck,34,33,26,8920,   ,246,1420,1540,1640,510,                         
    Buck,34,33,27,2546,   ,235,1310,1510,1610,510,                         
    Buck,34,33,28,7312,   ,260,1300,     ,1630,490,                         
    Buck,34,33,29,1670,   ,244,1310,1500,1560,590,                         
    Buck,34,34,26,7284,   ,219,1330,1450,1580,540,                         
    Buck,34,34,27,6474,   ,255,1220,1360,1460,550,                         
    Buck,34,34,28,7237,   ,236,1360,     ,1650,530,                         
    Buck,34,34,29,8954,   ,262,1350,     ,1620,510,                         
    Buck,34,35,26,8967,   ,254,1460,1540,1670,540,                         
    Buck,34,35,27,6437,   ,125,1010,1150,1250,540,                         
    Buck,34,35,28,7206,   ,262,1260,1430,1540,500,                         
    Buck,34,35,29,9027,a  ,50,470,     ,     ,     ,dead                     
    Buck,34,35,29,9027,b  ,49,510,     ,     ,     ,dead                     
    Buck,39,38,26,5053,   ,212,1100,1260,1360,360,                         
    Buck,39,38,27,827,   ,212,1070,1240,1380,370,                         
    Buck,39,38,28,5737,   ,     ,     ,     ,     ,     ,                         
    Buck,39,38,29,6074,   ,247,1320,1500,1640,480,                         
    Buck,39,39,26,6087,   ,     ,     ,     ,     ,     ,                         
    Buck,39,39,27,59,   ,206,1010,1210,1340,390,                         
    Buck,39,39,28,5213,   ,267,1270,1470,1610,430,                         
    Buck,39,39,29,29,a  ,189,1260,1430,1520,510,                         
    Buck,39,39,29,29,b  ,161,1110,1350,1450,470,                         
    Buck,39,40,26,1133,   ,240,1300,1470,1590,340,                         
    Buck,39,40,27,1199,   ,199,1280,1420,1530,520,                         
    Buck,39,40,28,5752,   ,237,1250,1380,1520,450,                         
    Buck,39,40,29,5019,   ,224,1200,1390,1520,450,                         
    Buck,39,41,26,1222,   ,200,1170,1340,1450,460,                         
    Buck,39,41,27,788,   ,240,1290,1480,1590,440,                         
    Buck,39,41,28,193,   ,214,1310,1530,1640,430,                         
    Buck,39,41,29,6054,   ,231,1260,1460,1580,500,                         
    Buck,39,42,26,1114,   ,248,1190,1400,1520,330,                         
    Buck,39,42,27,5186,   ,     ,     ,     ,     ,     ,                         
    Buck,39,42,28,213,   ,255,1200,1450,1560,370,                         
    Buck,39,42,29,6001,   ,260,1260,     ,1490,320,                         
    Buck,42,38,38,9284,   ,263,1290,     ,1500,460,                         
    Buck,42,38,39,444,   ,226,1300,1450,1570,510,                         
    Buck,42,38,40,4548,   ,259,1240,     ,1500,400,                         
    Buck,42,38,41,5280,   ,90,800,980,1070,490,                         
    Buck,42,39,38,9147,   ,219,1200,1390,1520,360,                         
    Buck,42,39,39,4730,   ,231,1320,1530,1630,440,                         
    Buck,42,39,40,5465,   ,200,1100,     ,1350,450,                         
    Buck,42,39,41,6876,   ,     ,     ,     ,     ,     ,                         
    Buck,42,40,38,4571,   ,229,1180,1330,1410,400,                         
    Buck,42,40,39,289,   ,225,1270,1440,1550,510,                         
    Buck,42,40,40,4693,a  ,110,970,1110,1210,360,                         
    Buck,42,40,40,4693,b  ,105,840,1030,1130,390,                         
    Buck,42,40,41,5408,   ,235,1250,1400,1530,410,                         
    Buck,42,41,38,2134,   ,192,950,1140,1260,470,                         
    Buck,42,41,39,450,a  ,186,1220,1350,1470,400,                         
    Buck,42,41,39,450,b  ,150,1090,1330,1430,550,                         
    Buck,42,41,40,9092,   ,212,1220,1380,1480,450,                         
    Buck,42,41,41,5270,   ,199,900,1120,1230,400,                         
    Buck,42,42,38,2171,   ,178,1060,1250,1370,350,                         
    Buck,42,42,39,253,   ,233,1040,1270,1390,300,                         
    Buck,42,42,40,6934,   ,228,1190,1340,1460,350,                         
    Buck,42,42,41,9262,   ,214,1080,1270,1390,360,                         
    Buck,43,43,38,8142,   ,40,361,     ,     ,     ,dead                     
    Buck,43,43,39,7952,   ,75,600,630,640,240,                         
    Buck,43,43,40,8197,   ,60,450,480,490,320,                         
    Buck,43,43,41,3218,   ,157,830,950,1040,240,                         
    Buck,43,44,38,3509,   ,51,460,460,460,250,                         
    Buck,43,44,39,3534,   ,92,550,600,620,190,                         
    Buck,43,44,40,3570,   ,84,530,610,660,290,                         
    Buck,43,44,41,3469,   ,78,580,610,620,310,                         
    Buck,43,45,38,8032,   ,117,750,860,930,230,                         
    Buck,43,45,39,3266,   ,275,1170,1400,1490,160,                         
    Buck,43,45,40,7989,   ,59,450,470,480,190,                         
    Buck,43,45,41,3341,   ,104,660,780,850,140,                         
    Buck,43,46,38,7921,   ,53,370,     ,     ,     ,dead                     
    Buck,43,46,39,8243,   ,118,740,820,870,290,                         
    Buck,43,46,40,8096,   ,132,820,920,970,310,                         
    Buck,43,46,41,7984,   ,104,740,820,870,320,                         
    Buck,43,47,38,3370,   ,114,770,870,910,330,                         
    Buck,43,47,39,3424,   ,85,640,700,730,320,                         
    Buck,43,47,40,8065,   ,117,770,910,980,230,                         
    Buck,43,47,41,33298,   ,110,670,740,810,270,                         
    Buck,46,43,26,31767,   ,166,1280,1480,1610,400,                         
    Buck,46,43,27,8447,a  ,185,1160,1340,1470,330,                         
    Buck,46,43,27,8447,b  ,172,1190,1280,1400,290,                         
    Buck,46,43,28,8554,   ,237,1270,1470,1560,330,                         
    Buck,46,43,29,8653,   ,     ,     ,     ,     ,     ,                         
    Buck,46,44,26,3984,   ,     ,     ,     ,     ,     ,                         
    Buck,46,44,27,8717,   ,     ,     ,     ,     ,     ,                         
    Buck,46,44,28,8538,   ,     ,     ,     ,     ,     ,                         
    Buck,46,44,29,8453,   ,270,1230,1340,1480,220,                         
    Buck,46,45,26,8505,a  ,213,1390,1460,1590,230,                         
    Buck,46,45,26,8505,b  ,171,1210,1260,1310,290,                         
    Buck,46,45,27,8617,   ,184,     ,     ,     ,     ,dead                     
    Buck,46,45,28,3778,   ,259,1180,1360,1510,350,                         
    Buck,46,45,29,8658,   ,228,1200,1380,1540,360,                         
    Buck,46,46,26,3828,   ,     ,     ,     ,     ,     ,dead                     
    Buck,46,46,27,4056,   ,215,1170,1420,1580,360,                         
    Buck,46,46,28,4020,   ,209,1300,1420,1540,330,                         
    Buck,46,46,29,4092,   ,272,1330,1490,1660,480,                         
    Buck,46,47,26,3916,   ,230,1140,1260,1320,190,sinuous top              
    Buck,46,47,27,3877,   ,     ,     ,     ,     ,     ,                         
